,wind_speed,direction,ghi,pressure,temp_air,precipitation
2022-02-05 07:00:00,4.206220909900376,-157.169209172491,20.87335648148148,100116.08333333333,1.9555450439453352,1.1652707030407328e-06
2022-02-05 08:00:00,4.210762153571438,-154.36051906660845,108.83,100133.97916666667,2.9079681396484602,1.0554989178974294e-08
2022-02-05 09:00:00,5.482598554638706,-160.9864584616043,190.03393518518521,100147.77083333333,3.865950520833337,5.364418029785156e-07
2022-02-05 10:00:00,5.781630533050377,-160.5625273106869,267.76078703703706,100166.16666666667,4.761458333333337,6.494422753651942e-07
2022-02-05 11:00:00,5.864588899575842,-157.9620597341451,236.92344907407403,100141.97916666667,5.111555989583337,7.015963395436661e-08
2022-02-05 12:00:00,5.9117236870921595,-157.37038591780794,255.37129629629626,100121.45833333333,5.536360677083337,0.0
2022-02-05 13:00:00,6.201249351374297,-154.4435439261248,227.4565046296296,100065.22916666667,5.838769531250023,0.0
2022-02-05 14:00:00,6.095646145031064,-153.34254518134296,166.9470370370372,100032.875,5.738102213541708,2.0489096641540527e-08
2022-02-05 15:00:00,5.584152016206225,-148.66145582272097,65.69245370370362,100006.66666666667,5.32593688964846,1.4652808507283416e-07
2022-02-05 16:00:00,5.82221580509633,-143.28769552486273,4.926134259259173,99979.5625,5.1274403889974,4.221995671590226e-08
2022-02-05 17:00:00,6.320897658409084,-142.05457029562817,0.0,99946.72916666667,5.268518066406273,8.319814999898331e-08
2022-02-05 18:00:00,6.8551163701550495,-140.65443690877603,0.0,99882.91666666667,5.565169270833337,3.0926118294397984e-06
2022-02-05 19:00:00,7.0907116349446095,-142.45570299381112,0.0,99811.04166666667,5.869185384114587,4.842877388000488e-07
2022-02-05 20:00:00,7.386322983101291,-144.74937195802121,4.6296296382529866e-05,99765.45833333333,6.017307535807333,1.9313767552375793e-05
2022-02-05 21:00:00,7.61502374476004,-144.44224072007617,0.0,99679.1875,6.088662719726585,6.931275129318237e-05
2022-02-05 22:00:00,7.838105839520132,-145.11207690825125,0.0,99577.16666666667,6.088169352213583,0.00011024127403895059
2022-02-05 23:00:00,8.275048118087703,-145.5762141794412,0.0,99516.60416666667,5.976663208007835,0.00035288805762926745
2022-02-06 00:00:00,8.685193733638798,-145.19478001980355,0.0,99436.66666666667,5.763869222005212,0.0
2022-02-06 01:00:00,8.716290428551577,-145.19542010294313,0.0,99358.08333333333,5.753472900390648,0.00016437214799225336
2022-02-06 02:00:00,8.759004404119043,-146.03978958565992,0.0,99263.64583333333,5.77295837402346,0.00022362793485323584
2022-02-06 03:00:00,8.805207632095614,-147.04706998582185,0.0,99173.79166666667,5.712447102864587,0.00045593424389759707
2022-02-06 04:00:00,8.846352022431569,-146.7788473106305,0.0,99081.64583333333,5.714466349283896,0.0006112999593218167
2022-02-06 05:00:00,8.77208294965612,-145.67058910568977,0.0,99002.20833333333,5.7404774983724,0.00046728861828645085
2022-02-06 06:00:00,8.688475787399149,-142.64254242243848,0.0,98895.35416666667,6.122160847981775,0.0003553587321410605
2022-02-06 07:00:00,8.757421528854351,-141.11363090306298,4.681226851851852,98807.625,6.261214192708337,0.0005994196981191635
