time,temp_air,pressure,ghi,precipitation,wind_speed,direction
2022-03-04 20:00:00,275.77196044921874,100184.625,0.0,4.351138045421976e-07,2.5933083624910576,-36.443931913643496
2022-03-04 21:00:00,274.89097900390624,100183.35,0.0,1.2874602930423862e-06,2.7773887864733964,-43.678819582968345
2022-03-04 22:00:00,274.1735900878906,100180.5,0.0,1.2874602930423862e-06,2.769375666452017,-48.859155822186466
2022-03-04 23:00:00,273.4253875732422,100180.9625,0.0,1.2874602930423862e-06,2.5992751162419347,-51.335695269809634
2022-03-05 00:00:00,272.7159118652344,100172.0125,0.0,1.2874602930423862e-06,2.55667629729411,-47.624857100116174
2022-03-05 01:00:00,272.15346374511716,100169.925,0.0,0.0,2.5265069834322404,-45.98593312799619
2022-03-05 02:00:00,271.67076416015624,100180.5625,0.0,0.0,2.422277657981494,-47.58624914696108
2022-03-05 03:00:00,271.2126190185547,100152.575,0.0,0.0,2.292222678583387,-48.15075121664253
2022-03-05 04:00:00,270.7717987060547,100158.7,0.0,0.0,2.1761576837963883,-46.92906115029038
2022-03-05 05:00:00,270.42600402832034,100171.4625,0.0,0.0,2.1228844679541528,-46.07323220466424
2022-03-05 06:00:00,270.18242797851565,100181.35,0.0,0.0,2.1151240138630625,-46.413030457754985
2022-03-05 07:00:00,270.9354614257812,100192.0375,25.003944444444443,0.0,2.1334739484575973,-58.50384910147176
2022-03-05 08:00:00,274.0289337158203,100200.9125,149.19283333333334,0.0,1.9120955479004318,-53.402273100886134
2022-03-05 09:00:00,276.76683654785154,100215.025,296.3562222222222,8.597968985668558e-07,2.089654727922067,-45.680767604625885
2022-03-05 10:00:00,278.669873046875,100196.3,423.2588888888888,8.52346317969932e-07,2.299701580658624,-40.76238915024393
2022-03-05 11:00:00,280.00390625,100193.675,511.1527222222223,8.52346317969932e-07,2.3866802646017855,-39.902952008268784
2022-03-05 12:00:00,280.852587890625,100166.175,550.5935555555557,1.7195939676639682e-06,2.2593047620216615,-39.429261487432825
2022-03-05 13:00:00,281.314892578125,100136.2,539.1368888888887,1.7225741544280027e-06,1.8736095598661435,-35.35359671498139
2022-03-05 14:00:00,281.49443359375,100122.2625,480.13605555555563,1.7225738702109084e-06,1.7739158352383924,-19.893517483464763
2022-03-05 15:00:00,281.317919921875,100122.8375,369.9808333333335,1.7225738702109084e-06,2.0945399899361297,-8.35820840766246
